,text_length,text_sentiment_polarity,text_sentiment_subjectivity,text_theme_patriotism,text_theme_freedom,text_theme_war,text_theme_peace,text_theme_nature,text_theme_religion,image_color_count,image_red_dominance,image_green_dominance,image_blue_dominance,image_brightness,image_complexity,audio_duration,audio_tempo,audio_energy,audio_pitch_mean,audio_pitch_std,audio_volume
cg,138,0.3713383838383839,0.5423611111111112,2.898550724637681,0.7246376811594203,1.4492753623188406,2.1739130434782608,0.7246376811594203,0.0,3,0.44857142857142857,0.38761904761904764,0.16380952380952382,0.4575163398692811,27.65863337187866,75.25877551020409,120.18531976744185,0.15485425,1194.8309,854.179,0.12514612
kn,76,0.275,0.6972222222222222,2.631578947368421,2.631578947368421,1.3157894736842104,2.631578947368421,1.3157894736842104,3.9473684210526314,5,0.40977011494252874,0.36724137931034484,0.22298850574712645,0.4549019607843137,119.35660853090624,62.82448979591837,101.33272058823529,0.12904485,1127.1312,772.9443,0.10365544
mk,53,0.287012987012987,0.6519480519480519,0.0,9.433962264150944,3.7735849056603774,0.0,3.7735849056603774,0.0,2,0.6176203451407811,0.27157129881925524,0.11080835603996367,0.47973856209150323,36.87817782917155,49.946122448979594,117.45383522727273,0.14188588,1398.0896,983.1781,0.114315465
py,365,0.2830131673881674,0.6338699494949497,0.821917808219178,1.9178082191780823,0.547945205479452,0.547945205479452,1.643835616438356,0.547945205479452,6,0.11816642477019836,0.6067972907595549,0.27503628447024675,0.17155306567071274,887.0766595960013,195.86612244897958,123.046875,0.029315813,989.776,718.4715,0.023611337
vi,172,0.3686734693877551,0.6855782312925169,0.5813953488372093,1.744186046511628,1.744186046511628,1.744186046511628,8.13953488372093,1.1627906976744187,7,0.37909310673210755,0.37330598490953043,0.24760090835836202,0.2074935400516796,1067.894657726126,143.56897959183672,126.04801829268293,0.10392334,1155.8323,842.07306,0.08328227
mf,175,0.19609053497942383,0.4088477366255144,0.5714285714285714,1.1428571428571428,0.0,1.1428571428571428,4.0,0.5714285714285714,3,0.43243243243243246,0.26155187445510025,0.3060156931124673,0.4997821350762528,22.912878474779202,59.8808843537415,83.35433467741936,0.09421654,1203.9088,910.66,0.077204295
za,82,0.0987878787878788,0.37999999999999995,3.6585365853658534,1.2195121951219512,1.2195121951219512,1.2195121951219512,3.6585365853658534,6.097560975609756,5,0.3834900731452456,0.3333333333333333,0.2831765935214211,0.5003921568627451,76.3544366752843,122.64489795918368,132.51201923076923,0.08207622,1147.0743,813.4645,0.06600512
bm,81,0.16136363636363632,0.5599999999999999,3.7037037037037033,0.0,0.0,1.2345679012345678,7.4074074074074066,0.0,9,0.34533512464546945,0.3314524555903866,0.3232124197641439,0.4707990723170988,1870.7351496136484,95.50367346938775,101.33272058823529,0.06381967,1284.8568,911.56024,0.051410407
br,263,0.3916017316017317,0.6415584415584417,1.520912547528517,0.7604562737642585,0.38022813688212925,0.38022813688212925,5.323193916349809,0.0,4,0.29498069498069496,0.41776061776061774,0.28725868725868725,0.5642701525054467,570.8546224740586,112.82285714285715,123.046875,0.0656368,1078.1088,790.54895,0.05251214
mr,79,0.0,0.4166666666666667,2.5316455696202533,0.0,0.0,0.0,0.0,0.0,2,0.3939393939393939,0.3731060606060606,0.23295454545454544,0.34509803921568627,30.199337741083,86.62204081632653,112.34714673913044,0.13396308,1083.893,784.8254,0.10807013
sd,60,0.11212121212121212,0.39999999999999997,3.3333333333333335,0.0,1.6666666666666667,0.0,3.3333333333333335,1.6666666666666667,3,0.38814691151919867,0.32136894824707846,0.2904841402337229,0.5220043572984749,30.789608636681304,45.55755102040816,120.18531976744185,0.081472754,1174.4353,856.9548,0.0654208
nu,35,0.26666666666666666,0.5666666666666668,0.0,0.0,0.0,0.0,0.0,2.857142857142857,4,0.40397350993377484,0.3423841059602649,0.25364238410596024,0.5639589169000935,128.80993750483694,66.73414965986395,135.99917763157896,0.14655899,1553.6886,928.2178,0.12027722
bb,136,0.3963333333333333,0.6833333333333333,4.411764705882353,0.7352941176470588,1.4705882352941175,0.7352941176470588,0.7352941176470588,0.0,3,0.3881278538812785,0.3607305936073059,0.2511415525114155,0.28627450980392155,63.67888189973188,78.65469387755103,109.95678191489361,0.0791635,1441.234,1004.9709,0.063660644
gl,112,0.2571428571428571,0.37142857142857144,2.6785714285714284,0.0,1.7857142857142856,0.0,1.7857142857142856,0.0,2,0.4469111969111969,0.2577220077220077,0.2953667953667954,0.6771241830065359,19.339079605813716,49.24081632653061,112.34714673913044,0.040709306,1173.3208,828.1134,0.032905195
pr,77,0.4791666666666667,0.7666666666666666,0.0,0.0,0.0,0.0,16.883116883116884,0.0,2,0.22727272727272727,0.3181818181818182,0.45454545454545453,0.7333333333333333,32.37282811247729,94.45877551020408,123.046875,0.10326215,1080.5482,759.1082,0.083212756
va,183,0.4461538461538461,0.7153846153846154,0.0,1.092896174863388,0.0,1.639344262295082,1.639344262295082,0.546448087431694,6,0.46974958874063244,0.32224456223725095,0.2080058490221166,0.6218812162546179,2571.6516093748,193.46285714285713,99.38401442307692,0.036237657,1207.9757,878.06995,0.0289937
tn,139,0.3275432900432901,0.7728174603174602,2.877697841726619,0.0,0.7194244604316548,0.7194244604316548,1.4388489208633095,0.7194244604316548,2,0.41629213483146066,0.28651685393258425,0.29719101123595504,0.7755991285403049,47.18050444834179,52.40163265306123,114.84375,0.10626071,1298.5231,937.4086,0.08523597
nf,92,-0.20357142857142857,0.4642857142857143,0.0,0.0,0.0,0.0,0.0,0.0,2,0.2295229522952295,0.44734473447344736,0.32313231323132313,0.4840958605664489,266.02067588817226,67.64997732426303,99.38401442307692,0.12771611,1406.2501,1054.3606,0.10146201
tl,74,0.08111111111111112,0.6577777777777778,2.7027027027027026,2.7027027027027026,5.405405405405405,0.0,6.756756756756757,0.0,3,0.4727979274611399,0.3173575129533679,0.20984455958549222,0.6727668845315905,34.52535300326414,130.08979591836734,139.6748310810811,0.043375812,949.04913,653.69275,0.034984518
md,110,0.2291666666666667,0.5666666666666668,0.0,0.0,0.9090909090909091,0.0,4.545454545454546,0.9090909090909091,5,0.5131302521008403,0.35294117647058826,0.13392857142857142,0.46666666666666673,1262.842032876638,71.13142857142857,123.046875,0.07453379,1252.3765,906.7265,0.060036473
ki,97,0.603125,0.5725,0.0,0.0,0.0,3.0927835051546393,0.0,1.0309278350515463,5,0.4658385093167702,0.3511705685618729,0.1829909221213569,0.30399419026870006,299.26910966553163,44.878367346938774,103.359375,0.10707732,1069.1827,722.12494,0.086475864
so,97,0.35625,0.625,2.0618556701030926,0.0,0.0,0.0,6.185567010309279,0.0,2,0.26936026936026936,0.32996632996632996,0.4006734006734007,0.7764705882352941,67.88225099390856,66.63836734693878,112.34714673913044,0.15272465,989.7621,720.1666,0.12450777
gy,144,0.3960497835497835,0.6964285714285714,0.0,3.4722222222222223,0.0,0.0,7.638888888888889,0.6944444444444444,5,0.40977011494252874,0.36724137931034484,0.22298850574712645,0.4549019607843137,41.593268686170845,53.263673469387754,120.18531976744185,0.10740858,1237.2225,835.9019,0.086343065
bj,163,0.16999999999999998,0.39791666666666664,0.6134969325153374,0.6134969325153374,0.6134969325153374,0.6134969325153374,1.2269938650306749,0.0,3,0.4874118831822759,0.3635448136958711,0.14904330312185296,0.43267973856209146,23.2379000772445,67.81387755102041,109.95678191489361,0.10981739,1415.0535,958.70605,0.08844957
ee,86,0.5318181818181817,0.7,0.0,0.0,0.0,0.0,5.813953488372093,3.488372093023256,2,0.2350230414746544,0.3400921658986175,0.4248847926267281,0.7091503267973857,22.38302928559939,31.764897959183674,147.65625,0.086284086,1175.9138,823.7033,0.06930463
im,241,0.1482936507936508,0.5465079365079364,0.4149377593360996,0.4149377593360996,0.4149377593360996,0.8298755186721992,3.7344398340248963,0.4149377593360996,4,0.4656188605108055,0.32481990831696134,0.20956123117223313,0.49901960784313726,267.88803631368086,52.688979591836734,126.04801829268293,0.070253,1337.4398,930.6596,0.056587312
sn,243,0.26951884920634916,0.5031746031746032,0.0,0.0,0.823045267489712,0.823045267489712,1.2345679012345678,0.411522633744856,3,0.387409200968523,0.4293785310734463,0.18321226795803067,0.4049019607843137,81.37567204023571,55.797551020408164,112.34714673913044,0.101609185,1084.4255,801.45276,0.08163012
